Ticker,Name,Website,DNBExchange,DNBTicker,NaicsSector,NaicsIndustry,KeyPrincipal,DetailLink,Description
07/26/2011 00:00:00,Fluor to Present at Jefferies 2011 Global Industrial And A&D Conference,
07/14/2011 00:00:00,Fluor Selected by BASF as Engineering Partner in Asia & Europe,
07/13/2011 00:00:00,Fluor Named by Quadra FNX to Perform Sierra Gorda Mining Work in Chile,
07/06/2011 00:00:00,Fluor Corporation to Hold Second Quarter 2011 Earnings Conference Call,
07/05/2011 00:00:00,Fluor Wins Advisory Contract for Lithuanian Gas Terminal,
06/28/2011 00:00:00,Fluor Awarded EPCM Services Contract for Woodside’s Gas Assets in Australia,
06/22/2011 00:00:00,Fluor to Provide Dow Engineering and Design Services for Its Chemical Plant Expansion,
06/10/2011 00:00:00,Fluor’s Boeckmann Recognized by Boys & Girls Clubs of America for Contribution to Youth,
06/02/2011 00:00:00,Fluor Awarded South Carolina Manufacturing Plant Expansion by Showa Denko Carbon,
05/31/2011 00:00:00,Fluor Wins National Engineering Excellence Award for Refinery Project in Spain,
05/19/2011 00:00:00,Fluor to Present at Credit Suisse 2011 Engineering & Construction Conference,
05/09/2011 00:00:00,Fluor Joint Venture Awarded Contract in Western Australia,
05/05/2011 00:00:00,Fluor Reports Strong First Quarter Results and Record Backlog,
05/05/2011 00:00:00,Fluor Corporation Announces Quarterly Dividend,
04/21/2011 00:00:00,Fluor’s Houston Office Achieves 100 Million Safe Hours,
04/18/2011 00:00:00,Fluor Turner Joint Venture to Support UK Ministry of Defence in Afghanistan,
04/13/2011 00:00:00,Fluor Teams with Azima DLI for Client Predictive Maintenance Needs,
04/11/2011 00:00:00,Fluor Honored with Innovation Award at World Biofuels Markets Conference,
04/07/2011 00:00:00,Fluor to Design New Tata Steel Power Plant in The Netherlands,
04/06/2011 00:00:00,Fluor Team on Denver’s Eagle P3 Transit Project Recognized by Project Finance Magazine for Deal of the Year,
04/05/2011 00:00:00,Fluor Corporation to Hold First Quarter 2011 Earnings Conference Call,
04/04/2011 00:00:00,Fluor Selected by SunPower to Build 20-Megawatt Arizona Solar Power Plant,
03/14/2011 00:00:00,Eleanor Spector Joins Fluor Government Group to Lead Contract Management Function,
03/04/2011 00:00:00,Fluor Announces Adjustment of Conversion Rate for 1.5% Convertible Senior Notes Due 2024,
02/28/2011 00:00:00,Fluor and Savannah River Nuclear Solutions Help Establish Hydrogen Economy Center at University of South Carolina,
02/23/2011 00:00:00,Fluor Reports Fourth Quarter and Full Year 2010 Results,
02/22/2011 00:00:00,Fluor Wins Browse Offshore FEED Contract in Australia,
02/22/2011 00:00:00,Fluor to Perform Early Works in Iraq for ExxonMobil,
02/15/2011 00:00:00,CORRECTING AND REPLACING Fluor and Boeing Team to Pursue Sandia National Laboratories Work,
02/03/2011 00:00:00,Fluor Corporation Announces Quarterly Dividend,
02/03/2011 00:00:00,Fluor’s Board Elects David Seaton Chief Executive Officer,
01/20/2011 00:00:00,Fluor Corporation to Hold Fourth Quarter and Year End Earnings Conference Call,
01/18/2011 00:00:00,Fluor Awarded $3.5 Billion EPC Contract by Santos for Gladstone LNG Project in Australia,
01/13/2011 00:00:00,Fluor Expands Power Maintenance Services for Luminant,
12/20/2010 00:00:00,Retired Army Lieutenant General Richard A. Hack Joins Fluor’s Government Group,
12/17/2010 00:00:00,Fluor Team Achieves Financial Close on Windsor-Essex Parkway,
12/17/2010 00:00:00,Fluor Offshore Project Named Platts Engineering Project of the Year,
12/16/2010 00:00:00,Fluor Awarded IBM Facility Management Contract,
12/15/2010 00:00:00,Fluor and Russia’s SIBUR Sign Memorandum of Understanding,
12/14/2010 00:00:00,Fluor Named Project Management Consultant for New Refinery in Turkey,
11/15/2010 00:00:00,"AMECO Forms Joint Venture with Mikisew Energy Services Group in Alberta, Canada",
11/05/2010 00:00:00,Fluor Team Chosen as Preferred Proponent for Windsor-Essex Parkway Project in Canada,
