Date,Description,Link
06/10/2009 00:00:00,TASER International's EVIDENCE.COM and AXON Win 2009 Innovation Awards,
29/09/2009 00:00:00,"TASER International Receives An Indefinite Delivery, Indefinite Quantity (IDIQ) Contract from U.S. Customs and Border Protection",
21/09/2009 00:00:00,TASER International Introduces TASER(R) Certified to Professional Security,
17/09/2009 00:00:00,First Order of the New Multi-Shot TASER X3 is Delivered,
09/09/2009 00:00:00,New South Wales Australia Police Order TASER Electronic Control Devices,
11/08/2009 00:00:00,TASER International Dismissed From Three Arrest-Related Death Lawsuit,
29/07/2009 00:00:00,TASER International Reports Second Quarter 2009 Results,
27/07/2009 00:00:00,TASER International Launches Revolutionary New Multi-Shot TASER Device With Precision Shaped Pulse Technology,
23/07/2009 00:00:00,TASER International to Unveil TASER X3 At Annual Conference July 27,
17/07/2009 00:00:00,TASER International to Release Second Quarter 2009 Earnings on July 29,
13/07/2009 00:00:00,TASER International Dismissed From Three Arrest Related Lawsuits,
06/07/2009 00:00:00,United States Military Academy to Issue the TASER X26 to Base Security,
01/07/2009 00:00:00,TASER X3 With Rotational Pulse Drive(tm) to Launch July 27,
30/06/2009 00:00:00,TASER XREP Ready to Fly,
25/06/2009 00:00:00,New Medical Study Shows TASER Device Has Minimal Physiological Effect On Humans in Simulated Arrest Scenarios,
25/06/2009 00:00:00,UPDATING and REPLACING -- New Medical Study Shows TASER Device Has Minimal Physiological Effect On Humans in Simulated Arrest Scenarios,
11/06/2009 00:00:00,Baby With Knife Held to Her Throat Saved by Amherst Police Use of TASER X26,
