Date,Description,Link,EarningRelated
26/05/2011 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2011 Earnings Conference Call,,1
28/03/2011 00:00:00,lululemon athletica inc. Board of Directors Approves a Two-for-One Stock Split,,0
17/03/2011 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2010 Results,,1
03/03/2011 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Fiscal 2010 Earnings Conference Call,,1
15/02/2011 00:00:00,Returning to Our Roots: lululemon athletica Comes Home to Kits,,0
11/01/2011 00:00:00,lululemon athletica inc. Raises Guidance for Fourth Quarter of Fiscal 2010,,1
07/01/2011 00:00:00,lululemon athletica inc. Announces Participation in the 13th Annual ICR XChange Conference,,0
21/12/2010 00:00:00,lululemon athletica Voluntarily Withdraws Certain Reusable Bags,,0
09/12/2010 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2010 Results,,1
29/11/2010 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2010 Earnings Conference Call,,1
17/11/2010 00:00:00,lululemon athletica Appoints Kathryn Henry as Chief Information Officer,,0
10/09/2010 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2010 Results,,1
26/08/2010 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2010 Earnings Conference Call,,1
10/06/2010 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2010 Results,,1
27/05/2010 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2010 Earnings Conference Call,,1
12/05/2010 00:00:00,lululemon athletica inc. Announces Increased Equity Ownership in Australian Business,,0
25/03/2010 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2009 Results,,1
11/03/2010 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Fiscal 2009 Earnings Conference Call,,1
28/01/2010 00:00:00,lululemon athletica inc. and YYoga unveil key details for Gift of Yoga program,,0
12/01/2010 00:00:00,"lululemon athletica inc. and YYoga Team up to Give the Gift of Yoga to the World from Feb. 12 - 28, 2010",,0
06/01/2010 00:00:00,lululemon athletica inc. Announces Participation in the 12th Annual ICR XChange Conference,,0
09/12/2009 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2009 Results,,1
25/11/2009 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2009 Earnings Conference Call,,1
26/10/2009 00:00:00,lululemon athletica inc. Raises Guidance for Third Quarter of Fiscal 2009,,1
23/09/2009 00:00:00,lululemon athletica inc. Announces Participation in William Blair's Emerging Growth Stock Conference,,0
10/09/2009 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2009 Results,,1
01/09/2009 00:00:00,lululemon athletica inc. Introduces ivivva athletica,,0
25/08/2009 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2009 Earnings Conference Call,,1
11/06/2009 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2009 Results,,1
01/06/2009 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2009 Earnings Conference Call,,1
13/05/2009 00:00:00,lululemon athletica inc. Announces 2009 Annual General Meeting of Stockholders and the Availability of the Annual Report Video Online,,0
15/04/2009 00:00:00,Lululemon Athletica Challenges You To Shop Nude,,0
30/03/2009 00:00:00,Lululemon Athletica Files Post-Effective Amendment To Registration Statement For Outstanding Exchangeable Shares,,0
26/03/2009 00:00:00,Lululemon Athletica Inc. Announces Fourth Quarter And Full Year Fiscal 2008 Results,,1
23/03/2009 00:00:00,Lululemon Athletica Inc. Announces Participation In The Telsey Advisory Group 2009 Consumer Conference,,0
13/03/2009 00:00:00,Lululemon Athletica Inc. Announces Fourth Quarter Fiscal 2008 Earnings Conference Call,,1
07/01/2009 00:00:00,lululemon athletica inc. Announces Participation in the 11th Annual ICR XChange Conference,,0
18/12/2008 00:00:00,lululemon athletica Appoints Marti Morfitt to Board of Directors,,0
11/12/2008 00:00:00,lululemon athletica Founder to Transfer Shares,,0
11/12/2008 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2008 Results,,1
24/11/2008 00:00:00,"lululemon athletica inc. Announces Third Quarter Fiscal 2008 Earnings
Conference Call",,1
19/09/2008 00:00:00,lululemon athletica inc. Announces Participation in the Thomas Weisel Partners Consumer Conference 2008,,0
11/09/2008 00:00:00,lululemon athletica Founder to Transfer Shares,,0
11/09/2008 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2008 Results,,1
22/08/2008 00:00:00,lululemon athletica inc. Announces Second Quarter Earnings Conference Call,,1
31/07/2008 00:00:00,Lululemon Athletica Files Registration Statement For Outstanding Exchangeable Shares,,0
