Date,Description,Link,EarningRelated
24/07/2014 00:00:00,Under Armour Reports Second Quarter Net Revenues Growth Of 34%; Raises Full Year 2014 Net Revenues and Operating Income Outlook,,1
03/07/2014 00:00:00,"Under Armour, Inc. To Report Second Quarter 2014 Earnings and Webcast Conference Call",,1
26/06/2014 00:00:00,Under Armour Opens New Retail Experience in Panama,,0
28/05/2014 00:00:00,Under Armour and Cruz Azul Announce Multi-Year Partnership,,0
20/05/2014 00:00:00,Under Armour Partners With Rugby Canada,,0
08/05/2014 00:00:00,Under Armour Pledges $10 Million to Johns Hopkins to Build Breast Health Center,,0
24/04/2014 00:00:00,"Under Armour Opens New York's First ""Brand House"" Specialty Retail Store",,0
24/04/2014 00:00:00,Under Armour Reports First Quarter Net Revenues Growth Of 36%; Raises Full Year 2014 Outlook,,1
03/04/2014 00:00:00,"Under Armour, Inc. To Report First Quarter 2014 Earnings and Webcast Conference Call",,1
18/03/2014 00:00:00,Under Armour Announces a Two-for-One Stock Split,,0
12/03/2014 00:00:00,Under Armour Amplifies Global Expansion Efforts with Brazil Launch,,0
21/02/2014 00:00:00,Under Armour Elevates Commitment to US Speedskating and Extends Partnership Through 2022,,0
30/01/2014 00:00:00,Under Armour's UA Speedform™ Apollo Breaks New Ground,,0
30/01/2014 00:00:00,Under Armour Reports Fourth Quarter Net Revenues Growth of 35% and Full Year Net Revenues Growth of 27%; Raises Full Year 2014 Outlook,,1
21/01/2014 00:00:00,Under Armour and Notre Dame Fighting Irish Join Forces,,0
16/01/2014 00:00:00,Under Armour Signs American Ballet Theatre Soloist Misty Copeland,,0
16/01/2014 00:00:00,Under Armour and the Naval Academy Athletics Association Form Multiyear Partnership,,0
09/01/2014 00:00:00,"Under Armour, Inc. To Report Fourth Quarter 2013 Earnings and Webcast Conference Call",,1
02/01/2014 00:00:00,Colo-Colo Unveils New Under Armour® Kits,,0
14/11/2013 00:00:00,"Under Armour to Acquire MapMyFitness, One of the World's Largest Open Fitness Tracking Platforms",,0
12/11/2013 00:00:00,World Class Athletes Battle the Elements in Newest Chapter of Under Armour's Global I WILL™ Campaign,,0
24/10/2013 00:00:00,Under Armour Reports Third Quarter Net Revenues Growth Of 26%; Raises Full Year Outlook,,1
22/10/2013 00:00:00,Under Armour Names Kip Fulks President of Product and Henry Stafford President of North America,,0
