Company Name,Ticker,Market Cap (mil),EBITDA ($mil),EBIT ($mil),Beta,Receivables ($mil),Inventory ($mil),Intangibles ($mil),Current Liabilities ($mil),Current Assets  ($mil),Long Term Debt ($mil),Preferred Equity ($mil),Common Equity ($mil),Book Value,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,Net Income  ($mil),Cash Flow ($mil),Annual Sales ($mil)
"Allegion","ALLE","9539.58","688.29998","590.40002","1.09","395.6","479","2022","703.59997","1214.59997","2081.8999","0","944.5","11.88","66.87899","2.01924","1.87","1.05",".48322","458","599.90002","3271.9"
"Ally Financial","ALLY","8314.68","4539","3212","1.34","134735","654","0","157752","140960","17762","2324","10535","36.75","60.48799","1.85272",".92",".89",".03531","1714","3366","8428"
"Alnylam Pharmaceuticals","ALNY","23946.3","-885.47498","-971.02503",".48","237.96299","128.962","0","767.91497","2692.24707","1016.94201","0","-158.22301","-2.08","","-3.92643","3.77","3.34","3.02809","-1131.15601","-1045.60596","1037.42"
"Astellas Pharma","ALPMY","29551.8","1980","1327",".59","3312","1255","7594","5635","7568","0","0","11970","6.07","8.6518",".09471","1.45","","","730.68103","2445.09106","11240.82"
"Alarm.com","ALRM","2476.02","105.591","59.73699","1.02","124.28299","115.58399","230.641","164.936","891.08801","490.36999","0","598.859","12.55","45.297",".78672","5.46","4.7","3.94832","56.338","152.79899","842.56"
"Alstom","ALSMY","10784.13","861.41198","-156.93801","1.22","3193.38696","3806.0249","14380.12988","19175.43945","15392.66015","3753.71289","0","10490.40039","2.51","25.45999",".34156",".82","","","-675.41303","348.776","17984.34"
"Allison Transmission Holdings","ALSN","4556.4","922","763",".98","363","224","2953","480","866","2501","0","874","10.85","71.674","2.53036","1.98","1.34",".58125","531","690","2769"
"Altair Engineering","ALTR","6068.71","13.46","-23.83601","1.49","181.53799","0","556.65698","232.738","526.82598","305.604","0","569.73602","7.52","27.04999",".37079","1.83","2.26","1.48359","-43.42901","112.896","572.22"
"Autoliv","ALV","7309.27","1026","663","1.69","1962","969","1382","3642","3714","1054","0","2626","30.77","37.742",".6062","1.15",".75",".21499","423","747","8842"
"Antero Midstream","AM","5141.92","841.83398","633.68402","2.36","87.66699","0","1286.10302","102.077","88.99299","3361.28198","0","2192.31811","4.54","60.49499","1.5313","1.02",".87",".01299","326.242","588.34497","919.98"
"Applied Materials","AMAT","112299.41","8271","7827","1.59","6068","5932","4039","7379","15925","5457","0","12194","16.83","27.86899",".38636","2.26","1.35",".53191","6525","7200","25785"
"Ambarella","AMBA","3035.32","-51.68701","-70.93801","1.49","51.98699","40.486","362.122","83.46199","304.63198","0","0","606.08801","15.64","0","0","3.65","3.16","2.54198","-65.38601","62.332","337.61"
"Ardagh Metal Packaging","AMBP","2294.74","615","256",".64","509","567","1473","1464","1908","3524","0","455",".63","90.44499","9.46542","1.23",".92",".5683","237","547","4689"
"AMC Entertainment","AMC","2403.86","-287.4","-630.59998","1.83","166.6","0","2489.30004","1690.30004","902.09997","5174.10009",".1","-2624.6001","-4.99","","-1.89701",".43",".53",".43512","-973.59998","-630.40003","3911.4"
"Amcor","AMCR","14714.44","1901","1274",".81","1935","2439","6942","5103","5853","6340","0","4141","2.9","61.23099","1.57938","1.27",".67",".28982","805","1851","14544"
"Advanced Micro Devices","AMD","189909.97","5723","1272","1.92","4128","3771","48295","6369","15019","2467","0","54750","33.96","4.31589",".0451","2.38","1.77","1.11791","1320","9955","23601"
"AMETEK","AME","34292.4","1831.30505","1511.87805","1.22","919.33502","1044.28405","8714.64648","1564.20202","2528.0581","2158.92797","0","7476.5122","33.66","21.906",".2805","1.84",".95",".36084","1159.54199","1634.09802","6150.53"
"Amedisys","AMED","2987","254.427","182.472","1.01","296.785","0","1388.56604","355.52899","388.96099","419.42001","0","1106.57299","34.81","24.77199",".32929","1.15","1.09",".25926","118.609","235.40199","2223.2"
"Amplifon","AMFPF","7697.21","559.91302","296.76699",".58","307.884","74.027","2479.77905","1048.57202","764.92401","1195.62304","0","1097.06604","","","","","","","186.675","470.488","2304.92"
"Affiliated Managers Group","AMG","5251.74","1928.19995","1860.80004","1.34","316","0","4524.70019","3313.60009","745.20001","0","0","4175.60009","116.88","11.21899","0",".39",".22",".12952","1145.90002","869.5","2329.6"
"Amgen","AMGN","118556.39","12169","8752",".64","5563","4930","31609","15687","22186","37354","0","3661","10.01","91.91","11.36144","3.14","1.1",".74539","6552","12987","26323"
"American Homes 4 Rent","AMH","12568.29","883.09997","444.89599",".67","47.75199","0","120.27899","484.40301","265.712","4515.99804",".092","7174.56591","20.78","36.82199",".58284",".88",".55",".44995","273.138","711.34197","1490.53"
"AssetMark Financial","AMK","2117.93","174.429","143.27999","1.04","20.347","0","1181.85205","73.81999","187.205","112.138","0","1126.36596","15.52","7.5328",".08146","2.54","2.54","2.26033","103.261","161.608","618.31"
"A.P. Moller-Maersk","AMKBY","32624.96","24618","19674","1.48","11529","1457","5769","12093","25802","4315","0","45588","16.1","5.72849",".06076","2.64","","","17942","23114","61787"
"Amkor Technology","AMKR","6170.5","1531.44396","915.49499","1.74","1365.50402","629.57598","21.517","1662.41101","3301.23901","1088.52099","0","3699.70092","15.17","22.142",".28439","2.08","1.61",".7857","765.82299","1381.77197","7091.58"
"AMN Healthcare Services","AMN","3954.62","784.96099","647.10101",".34","944.37597","0","1412.19604","857.93298","1093.64501","843.505","0","1043.63403","23.63","50.72299","1.02932","1.33","1.27",".17398","444.04998","671.60198","5243.24"
"Ameriprise Financial","AMP","32475.65","4005","4045","1.46","15799","0","0","33218","22896","5184","0","3613","39.78","58.852","1.43026",".66",".69",".21364","2559","2818","14286"
"Amphastar Pharmaceuticals","AMPH","2220.9","143.121","117.886",".77","88.97499","103.58399","37.298","94.86199","378.319","72.83899","0","528.65802","11.38","11.72599",".13283","3.86","2.9","1.95821","91.386","128.421","498.99"
"Alpha Metallurgical Resources","AMR","2068.3","1735.94995","1576.552","1.25","407.20999","200.574","55.102","402.625","1114.42102","7.89699","0","1429.755","103.15",".53816",".00541","3.45","2.27","1.25833","1448.54504","1607.94299","4101.59"
"Ameresco","AMRC","2359.53","164.20799","105.719","1.27","796.17498","14.218","75.32599","812.06799","1001.35101","568.635","0","873.031","17.17","43.122",".70596","1.25","1.22",".23515","94.926","158.13499","1824.42"
"American Tower","AMT","87914.4","6259.7998","2857.19995",".57","758.29998","0","30940","6338","3445.69995","34156","0","12408.5","26.29","73.9","2.8314",".61",".54",".42401","1765.80004","5168.3999","10711.1"
