Code,Name,Naics1,Nacis2,Duns,Website
360,Town of Standish,922190,,96-540-2555 - Archived Record,
361,Henry Company LLC,324122,325211,07-853-3815,henry.com
362,Mass Dept Public Health,923120,,87-829-8900 - Archived Record,
363,Phoenix Industrial Svcs I LP,561790,,18-672-9125 - Archived Record,phoenixservices.com
364,Drax Biomass Inc,221117,,07-853-3826,drax.com
365,Sugar Creek Packing Co,311612,,00-431-0561,sugarcreek.com
366,Essick Air Products Inc,333921,333415,87-792-3235,essickair.com
367,Western Power Products Inc,335932,,00-962-3729,
368,National Telecom Coop Assn,813910,561110,07-483-0720,ntca.org
369,Diversified Roofing Corp,238160,,18-705-1156 - Archived Record,diversifiedroofing.com
370,Glanbia Performance Ntrtn Inc,325411,424490,92-944-4826 - Archived Record,optimumnutrition.com
371,Ocean Beauty Seafoods LLC,311710,311710,00-924-8071,oceanbeauty.com
372,Innovation Industries Inc,333921,,05-652-9852 - Archived Record,
373,Tortilleria El Maizal Inc,311830,424410,14-443-8538 - Archived Record,
374,Women In Need Inc,624221,,18-442-1428,winnyc.org
375,Fxi Inc,326150,,83-144-6518 - Archived Record,
376,Spheris Holding III Inc,561492,,78-067-6305,warburgpincus.com
377,Waste Management Inc,562119,562111,19-467-2085,wm.com
378,Ben Franklin Transit,485210,,06-103-8006 - Archived Record,
379,Nyse Group Inc,523999,523210,61-961-7728,nyse.com
380,Texas Home Health America LP,621399,,07-418-6743 - Archived Record,
381,Preptech Inc,213115,,17-857-1600,preptech.com
382,Alamo Group (usa) Inc,333111,,04-821-1288 - Archived Record,alamo-group.com
383,Daifuku North America Holdg Co,333922,,07-853-3881,daifukuwebb.com
384,New York Stock Exchange LLC,523210,,79-119-5311 - Archived Record,intercontinentalexchange.com
385,Invicta Watch Company Amer Inc,423940,,96-518-7958 - Archived Record,
386,US Wire & Cable Corporation,326220,331222,19-064-6992,uswireandcable.com
387,Family Entertainment Group LLC,711510,,55-709-4195 - Archived Record,
